63268,Spot it!,2009,6.54147,1554,1.0395
372559,Spots,2022,7.15086,967,1.2931
195456,SPY,2017,5.75757,14350,1.6667
193308,Spyfall 2,2016,6.81284,1868,1.2245
147020,Star Realms,2014,7.55629,166,1.9185
332290,Stardew Valley: The Board Game,2021,7.4156,1023,2.7407
34635,Stone Age,2008,7.51823,179,2.4585
2653,Survive: Escape from Atlantis!,1982,7.31339,356,1.6925
192291,Sushi Go Party!,2016,7.3818,269,1.3131
253664,Taco Cat Goat Cheese Pizza,2018,6.54056,2168,1.0391
432,Take 5,1994,6.9746,672,1.1911
174975,"Take The ""A"" Chord",2015,6.31893,10449,1.8
286096,Tapestry,2019,7.43902,285,2.9543
129556,Tapple,2012,6.47648,3339,1.0263
297030,Tekhenu: Obelisk of the Sun,2020,7.67932,410,4.0704
120677,Terra Mystica,2012,8.04217,32,3.9748
328871,Terraforming Mars: Ares Expedition,2021,7.65029,184,2.9189
276817,Tetris Speed,2019,5.77434,24016,1.0
244522,That's Pretty Clever!,2018,7.56252,194,1.8625
180593,The Bloody Inn,2015,7.05981,796,2.362
84876,The Castles of Burgundy,2011,8.14955,16,2.972
324856,The Crew: Mission Deep Sea,2021,8.09806,38,2.0336
172307,The Game of Life (2013- Editions),2013,4.94301,28277,1.1905
281259,The Isle of Cats,2019,7.65178,174,2.36
244992,The Mind,2018,6.73985,1022,1.0778
128882,The Resistance: Avalon,2012,7.50329,219,1.7403
358557,The Search for Lost Species,2023,7.82507,1424,2.963
220517,The Shipwreck Arcana,2017,7.42054,806,2.2394
385529,The Vale of Eternity,2023,7.62057,424,2.1489
331106,The Witcher: Old World,2023,7.93229,333,2.8767
408547,Things in Rings,2024,7.1756,2094,1.3929
9209,Ticket to Ride,2004,7.38932,247,1.8223
331787,Tiny Epic Dungeons,2021,7.47074,822,3.0918
261901,Tokyo Highway,2018,6.81553,,1.439
218530,Tortuga 1667,2017,6.88932,1707,2.0123
402310,Town 77,2023,6.70026,6234,1.8571
338628,Trails,2021,7.04434,1372,1.8191
288513,Tranquility,2020,6.95412,1557,1.3404
420766,Trick & Snipers,2024,6.6351,12602,1.5
163068,Trickerion: Legends of Illusion,2015,7.97318,115,4.2559
352515,Trio,2021,7.39191,589,1.0461
134352,Two Rooms and a Boom,2013,6.98711,1155,1.4768
126163,Tzolk'in: The Mayan Calendar,2012,7.8508,69,3.665
279613,Unlock!: Timeless Adventures,2019,7.74362,775,2.0
2223,UNO,1971,5.46723,28292,1.1025
2821,UNO Stacko,1994,5.56681,25821,1.1304
361241,Vaalbara,2022,7.21366,1565,1.7333
328211,Vegetable Stock,2019,6.81509,2976,1.0606
1910,Venice Connection,1988,5.93134,9713,1.6364
419378,Vicious Gardens,2025,7.91327,11158,1.6667
183394,Viticulture Essential Edition,2015,7.97312,40,2.8923
262543,Wavelength,2019,7.23465,486,1.1076
233867,Welcome To...,2018,7.51857,198,1.8397
245422,Werewords Deluxe Edition,2018,7.54411,1261,1.3226
388413,Whale to Look,2023,6.62296,4802,1.8421
190082,Whitehall Mystery,2017,7.52847,703,2.1343
266192,Wingspan,2019,8.02035,33,2.4708
251433,Yokai Septet,2018,7.3907,2280,1.7826
286751,Zombicide: 2nd Edition,2021,7.93646,511,2.3742
362202,Zombie Kittens,2022,6.55534,4944,1.2
368061,Zoo Vadis,2023,7.52076,885,2.1098
381725,かさねっこ (Kasanekko),2022,6.75,,1.0
